# Word frequencies generated using Sudachi tokenization (Modes A, B, C)
# Data Provenance: HuggingFace 'mc4' dataset (validation split)
# Word	Sudachi_A	Sudachi_B	Sudachi_C
尾鷲市	0	3	2
肝機能	0	3	2
交換手	0	3	2
松江市	0	3	2
受講者	0	3	2
居留地	0	3	2
喜茂別町	0	3	2
姫路市	0	3	2
北竜町	0	3	2
生駒郡	0	3	2
門司港	0	3	2
中耳炎	0	3	2
東北線	0	3	2
柏市	0	3	2
経営学	0	3	2
富山市	0	3	2
反社会的	0	3	2
環状線	0	3	2
岩国市	0	3	2
瀬戸市	0	3	2
飛行場	0	3	2
伊勢崎市	0	3	2
込ま	282	2	2
同窓	50	2	2
難易	47	2	2
織り	46	2	2
お嬢	45	2	2
込める	39	2	2
当事	37	2	2
添乗	33	2	2
利便	32	2	2
鹿沼	28	2	2
老朽	28	2	2
江戸川	27	2	2
辿り	26	2	2
領収	25	2	2
参議	23	2	2
添っ	22	2	2
遊園	22	2	2
乳化	22	2	2
衆議	21	2	2
養育	20	2	2
養父	20	2	2
終末	19	2	2
禍	17	2	2
乗用	16	2	2
懇親	16	2	2
単行	15	2	2
三川	15	2	2
臨場	15	2	2
三木	15	2	2
栗山	14	2	2
扶桑	14	2	2
親近	14	2	2
ずっ	13	2	2
雑木	13	2	2
水族	13	2	2
司令	13	2	2
頭蓋	13	2	2
脱衣	12	2	2
吹奏	12	2	2
糸島	12	2	2
玉城	12	2	2
須賀川	12	2	2
加茂	12	2	2
優等	11	2	2
遂げる	11	2	2
不整	11	2	2
日野	11	2	2
表せ	11	2	2
特捜	11	2	2
疎水	11	2	2
富裕	11	2	2
くくり	10	2	2
岩盤	10	2	2
襲い	10	2	2
潜り	10	2	2
浦安	10	2	2
競い	10	2	2
岩美	10	2	2
先駆	9	2	2
無量	9	2	2
紋別	9	2	2
本宮	9	2	2
救世	8	2	2
光熱	8	2	2
宿場	8	2	2
チャーター	8	2	2
万葉	8	2	2
始業	8	2	2
痒	8	2	2
間内	8	2	2
強壮	8	2	2
分社	8	2	2
まとう	8	2	2
熊谷	7	2	2
彦根	7	2	2
優越	7	2	2
慰安	7	2	2
田川	7	2	2
外野	7	2	2
初任	7	2	2
競走	7	2	2
屁	7	2	2
小豆	7	2	2
符	7	2	2
一過	7	2	2
小倉北	7	2	2
呉服	7	2	2
応接	7	2	2
過労	7	2	2
柑橘	7	2	2
躍り	7	2	2
掛川	7	2	2
盗み	6	2	2
袖ケ浦	6	2	2
正教	6	2	2
親睦	6	2	2
さげ	6	2	2
清浄	6	2	2
錬金	6	2	2
混ざり	6	2	2
直そう	6	2	2
障がい	6	2	2
寒暖	6	2	2
帝釈	6	2	2
惨事	6	2	2
伊勢崎	6	2	2
南端	6	2	2
霊媒	6	2	2
争奪	6	2	2
神論	6	2	2
適任	6	2	2
区議	6	2	2
変則	6	2	2
京極	6	2	2
担ぎ	6	2	2
散らす	5	2	2
徳山	5	2	2
技工	5	2	2
朱	5	2	2
返礼	5	2	2
看	5	2	2
狛江	5	2	2
党派	5	2	2
双眼	5	2	2
終業	5	2	2
冠雪	5	2	2
同義	5	2	2
常習	5	2	2
河西	5	2	2
島原	5	2	2
防腐	5	2	2
明日香	5	2	2
関内	5	2	2
払おう	5	2	2
石狩	5	2	2
廉価	5	2	2
閉会	5	2	2
美濃加茂	5	2	2
取手	5	2	2
衣料	5	2	2
御影	5	2	2
拝観	5	2	2
再診	5	2	2
京葉	5	2	2
たたむ	5	2	2
不感	5	2	2
芥川	5	2	2
納会	5	2	2
直観	5	2	2
陸前高田	5	2	2
神学	5	2	2
仏前	4	2	2
ならさ	4	2	2
地質	4	2	2
跳ねる	4	2	2
竜王	4	2	2
半期	4	2	2
しゃがみ	4	2	2
伊予	4	2	2
柏崎	4	2	2
ささくれ	4	2	2
切ろう	4	2	2
信心	4	2	2
鳥類	4	2	2
各務原	4	2	2
禅	4	2	2
湧	4	2	2
古物	4	2	2
前哨	4	2	2
瑞穂	4	2	2
立とう	4	2	2
発振	4	2	2
不動前	4	2	2
赤玉	4	2	2
元住吉	4	2	2
ふけっ	4	2	2
留萌	4	2	2
三鷹	4	2	2
周南	4	2	2
茂る	4	2	2
安曇野	4	2	2
覚ます	4	2	2
炊事	4	2	2
自画	4	2	2
通せる	4	2	2
即応	4	2	2
徒労	4	2	2
小手	4	2	2
戒厳	4	2	2
過誤	4	2	2
おとなし	4	2	2
くぐり	4	2	2
永住	4	2	2
キク	4	2	2
売春	4	2	2
常滑	4	2	2
よび	4	2	2
大人し	4	2	2
稚内	4	2	2
南東	4	2	2
除草	4	2	2
AB	4	2	2
大山	4	2	2
北端	4	2	2
すきま	4	2	2
多義	4	2	2
吟醸	4	2	2
据える	4	2	2
晩婚	4	2	2
三ノ宮	4	2	2
憎み	3	2	2
悲しん	3	2	2
桜木町	3	2	2
だそう	3	2	2
長久手	3	2	2
透過	3	2	2
前任	3	2	2
田子	3	2	2
あぶらとり	3	2	2
試写	3	2	2
発会	3	2	2
袋井	3	2	2
出せよ	3	2	2
平井	3	2	2
公子	3	2	2
阿寒	3	2	2
厚木	3	2	2
太宰府	3	2	2
弁証	3	2	2
再販	3	2	2
捲り	3	2	2
佐世保	3	2	2
そり	3	2	2
五島	3	2	2
くぐっ	3	2	2
乱す	3	2	2
輪舞	3	2	2
西脇	3	2	2
つくば	3	2	2
ヒンドゥー	3	2	2
阪和	3	2	2
匙	3	2	2
波打ち	3	2	2
張れる	3	2	2
フライス	3	2	2
掛けれ	3	2	2
木質	3	2	2
砕く	3	2	2
社用	3	2	2
車掌	3	2	2
可逆	3	2	2
からめ	3	2	2
交じっ	3	2	2
オハイオ	3	2	2
アリゾナ	3	2	2
ならし	3	2	2
中前	3	2	2
慰労	3	2	2
池下	3	2	2
綴じ	3	2	2
馳せる	3	2	2
勃ち	3	2	2
上尾	3	2	2
分ち	3	2	2
量り	3	2	2
欠乏	3	2	2
中標津	3	2	2
接地	3	2	2
珊瑚	3	2	2
堪える	3	2	2
米沢	3	2	2
風雲	3	2	2
越す	3	2	2
江差	3	2	2
火炎	3	2	2
笠間	3	2	2
千秋	3	2	2
望遠	3	2	2
進めよう	3	2	2
忌避	3	2	2
占有	3	2	2
長原	3	2	2
うるま	3	2	2
安楽	3	2	2
須崎	3	2	2
高潮	3	2	2
失語	3	2	2
向かえる	3	2	2
とがめ	3	2	2
ブッ	3	2	2
入曽	3	2	2
護憲	3	2	2
二元	3	2	2
力学	3	2	2
辞職	3	2	2
もぐり	3	2	2
下北沢	3	2	2
排外	3	2	2
そそぐ	3	2	2
寄れる	3	2	2
ぬく	3	2	2
華道	3	2	2
叙情	3	2	2
滲み	3	2	2
海部	3	2	2
替えろ	3	2	2
横領	3	2	2
貧民	3	2	2
清里	3	2	2
越えれ	3	2	2
習わ	3	2	2
括っ	3	2	2
とぎ	3	2	2
御殿場	3	2	2
すがっ	3	2	2
ぬぐい	3	2	2
落す	3	2	2
誉め	3	2	2
のびる	3	2	2
模造	3	2	2
永田町	3	2	2
小道	2	2	2
Bay	2	2	2
ラドー	2	2	2
YG	2	2	2
ＳＫＥ	2	2	2
ハーヴェスト	2	2	2
ライザー	2	2	2
開祖	2	2	2
威光	2	2	2
俊二	2	2	2
詰ん	2	2	2
味っ	2	2	2
ひた走っ	2	2	2
ムシムシ	2	2	2
学びや	2	2	2
チンチラ	2	2	2
重ねれ	2	2	2
ムウ	2	2	2
シトロエン	2	2	2
雌伏	2	2	2
そーーー	2	2	2
ドキ	2	2	2
２，５８０	2	2	2
きずな	2	2	2
断た	2	2	2
Bianchi	2	2	2
讀三	2	2	2
Chinook	2	2	2
フブギララ	2	2	2
書出し	2	2	2
荻野	2	2	2
這わ	2	2	2
波音	2	2	2
ひとごと	2	2	2
上げれる	2	2	2
ペプラム	2	2	2
うみゃ	2	2	2
品違い	2	2	2
どーん	2	2	2
ディー	2	2	2
ぐちゃ	2	2	2
うちわ	2	2	2
パイプライン	2	2	2
数本	2	2	2
抱き枕	2	2	2
心血	2	2	2
ヤレ	2	2	2
膝蹴り	2	2	2
サンマ	2	2	2
receipt	2	2	2
リンサン	2	2	2
粘性	2	2	2
エログ	2	2	2
争闘	2	2	2
東日	2	2	2
ブータン	2	2	2
略式	2	2	2
ズコンズコン	2	2	2
なにわ	2	2	2
ヘアカラートリートメントブラック	2	2	2
陰影	2	2	2
代わり映え	2	2	2
臣下	2	2	2
13.8	2	2	2
妙法寺	2	2	2
ニアピン	2	2	2
サンヨー	2	2	2
着座	2	2	2
ダラブッカ	2	2	2
Lagrange	2	2	2
インテリジェンス	2	2	2
ばし	2	2	2
ティアリィプレス	2	2	2
ロビン	2	2	2
ENCAP	2	2	2
訛っ	2	2	2
伯母	2	2	2
塗り残し	2	2	2
伊藤忠	2	2	2
半量	2	2	2
エマニュエル	2	2	2
ESSE	2	2	2
執事	2	2	2
一太	2	2	2
手強い	2	2	2
加われ	2	2	2
通貫	2	2	2
昭	2	2	2
節夫	2	2	2
マレー	2	2	2
AR	2	2	2
ゾルレン	2	2	2
散り散り	2	2	2
長谷工	2	2	2
Enter	2	2	2
meqalised	2	2	2
常磐	2	2	2
暗渠	2	2	2
マッジョマニアコ	2	2	2
6479	2	2	2
トーーク	2	2	2
さっそう	2	2	2
テーピング	2	2	2
他馬	2	2	2
おうおう	2	2	2
がりがり	2	2	2
装う	2	2	2
ホプキンス	2	2	2
鶏卵	2	2	2
１９９７	2	2	2
Cloud	2	2	2
マチュマロ	2	2	2
認めよう	2	2	2
ほざく	2	2	2
YADOKARI	2	2	2
寄合	2	2	2
大西洋	2	2	2
ウエンズデイ	2	2	2
コーヒーバー	2	2	2
嵩張る	2	2	2
瑞沢	2	2	2
呼び鈴	2	2	2
TSA	2	2	2
はらう	2	2	2
愁傷	2	2	2
猪子	2	2	2
終生	2	2	2
閣	2	2	2
小高い	2	2	2
折れ線	2	2	2
密談	2	2	2
空焚き	2	2	2
デコボコ	2	2	2
オルセー	2	2	2
サブミクロンフィルター	2	2	2
湖岸	2	2	2
保人	2	2	2
8200	2	2	2
櫛形	2	2	2
トゥラッツ	2	2	2
エラブ	2	2	2
面する	2	2	2
体高	2	2	2
そんじょそこら	2	2	2
ハイドフェルド	2	2	2
Dakota	2	2	2
首振り	2	2	2
帰ん	2	2	2
イジョンソク	2	2	2
内診	2	2	2
クレーター	2	2	2
リアルティ	2	2	2
周防	2	2	2
願書	2	2	2
Cynthia	2	2	2
ﾈ	2	2	2
錬っ	2	2	2
つつじが丘	2	2	2
下せ	2	2	2
ラジ	2	2	2
持ち場	2	2	2
秀才	2	2	2
長けれ	2	2	2
金谷	2	2	2
桜えび	2	2	2
1956	2	2	2
書状	2	2	2
不詳	2	2	2
堀留	2	2	2
みだり	2	2	2
喪主	2	2	2
ユダ	2	2	2
門番	2	2	2
にょ	2	2	2
^^；	2	2	2
オイカワ	2	2	2
«	2	2	2
ゆるむ	2	2	2
謹製	2	2	2
蔘	2	2	2
唄え	2	2	2
いじいじ	2	2	2
ジンクス	2	2	2
文才	2	2	2
醜態	2	2	2
家宝	2	2	2
励ます	2	2	2
敬称	2	2	2
ざんねん	2	2	2
鄭	2	2	2
Doors	2	2	2
ガッチャマン	2	2	2
yumi	2	2	2
ポインター	2	2	2
周っ	2	2	2
610	2	2	2
抜てき	2	2	2
渡英	2	2	2
買いだめ	2	2	2
県連	2	2	2
根津	2	2	2
誤算	2	2	2
ソチ	2	2	2
KBS	2	2	2
うぐっ	2	2	2
ピレネー	2	2	2
キセノン	2	2	2
ユーリ	2	2	2
しかーし	2	2	2
演武	2	2	2
生海苔	2	2	2
アイスラッガー	2	2	2
AFT	2	2	2
フツメン	2	2	2
ペアレンツ	2	2	2
出川	2	2	2
枡	2	2	2
有毛	2	2	2
試打	2	2	2
ためらわ	2	2	2
サステナビリティ	2	2	2
半開き	2	2	2
桜吹雪	2	2	2
白系	2	2	2
454	2	2	2
AKIRA	2	2	2
米麹	2	2	2
疎通	2	2	2
藤古	2	2	2
ジャス	2	2	2
抗戦	2	2	2
始っ	2	2	2
鼓膜	2	2	2
みぞれ	2	2	2
コルテス	2	2	2
乍	2	2	2
ウブ	2	2	2
トップギア	2	2	2
ピロリドン	2	2	2
阿川	2	2	2
にい	2	2	2
LifeVancouver	2	2	2
玉穂	2	2	2
ウッ	2	2	2
ダンヒル	2	2	2
すれすれ	2	2	2
MACD	2	2	2
マサ	2	2	2
勤しむ	2	2	2
査証	2	2	2
ごまかせ	2	2	2
おのずから	2	2	2
じゃぶじゃぶ	2	2	2
曹長	2	2	2
ビ	2	2	2
モバマス	2	2	2
日増し	2	2	2
オモニ	2	2	2
おねしょ	2	2	2
熱性	2	2	2
奏歌	2	2	2
惜敗	2	2	2
利久	2	2	2
新木	2	2	2
素通り	2	2	2
大河内	2	2	2
内風呂	2	2	2
フルネーズ	2	2	2
ゲルト	2	2	2
やりまん	2	2	2
ど忘れ	2	2	2
林床	2	2	2
后	2	2	2
アンジュレーション	2	2	2
常和	2	2	2
星霜	2	2	2
ていぼう	2	2	2
蟬	2	2	2
上田中町	2	2	2
キリリ	2	2	2
真咲	2	2	2
タウシュベツ	2	2	2
角張っ	2	2	2
アンダーパス	2	2	2
浅漬け	2	2	2
ザーッ	2	2	2
灌漑	2	2	2
ﾊﾞﾀｯ	2	2	2
もっさり	2	2	2
美味しんぼ	2	2	2
アナンタ	2	2	2
ハウスオブ	2	2	2
ランドスケープ	2	2	2
ヴェルビュ	2	2	2
タイワン	2	2	2
阿蘇山	2	2	2
ノエル	2	2	2
せいしゃ	2	2	2
同書	2	2	2
掻け	2	2	2
大極	2	2	2
ハブラシ	2	2	2
フルハウス	2	2	2
あやかっ	2	2	2
殿下	2	2	2
届けよう	2	2	2
なすび	2	2	2
ペテン	2	2	2
屈せ	2	2	2
ダレる	2	2	2
とまり	2	2	2
日帝	2	2	2
求刑	2	2	2
１８万	2	2	2
折尾	2	2	2
コンボイ	2	2	2
有毒	2	2	2
Ｎａ	2	2	2
内政	2	2	2
mika	2	2	2
公邸	2	2	2
座ろう	2	2	2
Unity	2	2	2
憎め	2	2	2
実寸	2	2	2
リフォマ	2	2	2
青柚子	2	2	2
仕事着	2	2	2
両眼	2	2	2
モイス	2	2	2
ンス	2	2	2
トータス	2	2	2
青果	2	2	2
陥ら	2	2	2
釣法	2	2	2
書き手	2	2	2
アンデパンダン	2	2	2
ヨトウ	2	2	2
アンクル	2	2	2
蔵元	2	2	2
ベネディクト	2	2	2
のぞけ	2	2	2
パンプ	2	2	2
退部	2	2	2
陰り	2	2	2
主だっ	2	2	2
LoH	2	2	2
盗品	2	2	2
ガイル	2	2	2
Sassy	2	2	2
宗像	2	2	2
四方山話	2	2	2
手短	2	2	2
鋸山	2	2	2
曇空	2	2	2
ヘボ	2	2	2
2.41	2	2	2
フロ	2	2	2
右衛門	2	2	2
黒灰	2	2	2
緩慢	2	2	2
ncode	2	2	2
クリトリ	2	2	2
茶谷	2	2	2
職制	2	2	2
ゼットン	2	2	2
円卓	2	2	2
心打た	2	2	2
Cc	2	2	2
5,206	2	2	2
株数	2	2	2
多き	2	2	2
１７００万	2	2	2
あ〜あ	2	2	2
オルチニン	2	2	2
チタニウム	2	2	2
風通	2	2	2
yuri	2	2	2
桐山	2	2	2
淋しく	2	2	2
キャブ	2	2	2
罰当たり	2	2	2
計装	2	2	2
れいな	2	2	2
カブリオレ	2	2	2
くっつか	2	2	2
両隣	2	2	2
アリオ	2	2	2
コアクマックス	2	2	2
ニコカラ	2	2	2
OKOA	2	2	2
咲織	2	2	2
イスパニア	2	2	2
宝珠山	2	2	2
びりびり	2	2	2
スターツピタットハウス	2	2	2
挙	2	2	2
たんす	2	2	2
レクセルプラザ	2	2	2
棒読み	2	2	2
925	2	2	2
CLUB	2	2	2
玉三郎	2	2	2
ギフチャ	2	2	2
ディメント	2	2	2
CXO	2	2	2
生もの	2	2	2
塗り塗り	2	2	2
ﾊﾞｽﾞﾊﾝｸﾞﾚ	2	2	2
ウハウハ	2	2	2
ゲッレールト	2	2	2
チョットコイ	2	2	2
忠義	2	2	2
９３	2	2	2
単式	2	2	2
７９	2	2	2
きろう	2	2	2
葉巻	2	2	2
研鑚	2	2	2
オープリー	2	2	2
一音	2	2	2
道真	2	2	2
ウエノ	2	2	2
停めれ	2	2	2
捨	2	2	2
心掛ける	2	2	2
ラベッシ	2	2	2
オンブ	2	2	2
見まね	2	2	2
孝也	2	2	2
八百万	2	2	2
アツシ	2	2	2
知ったか	2	2	2
剪葉	2	2	2
アムロ	2	2	2
リクライナー	2	2	2
ウザ	2	2	2
我當	2	2	2
襟足	2	2	2
ダビング	2	2	2
Cadrim	2	2	2
桑町	2	2	2
快復	2	2	2
163	2	2	2
マドモアゼル	2	2	2
鈴音	2	2	2
ローファー	2	2	2
TRON	2	2	2
割線	2	2	2
iphonex	2	2	2
UFO	2	2	2
脈拍	2	2	2
ソッポ	2	2	2
かんだい	2	2	2
IQ	2	2	2
588	2	2	2
読破	2	2	2
モロゾフ	2	2	2
囃子	2	2	2
足浴	2	2	2
遊離	2	2	2
マコーティー	2	2	2
ぞーっと	2	2	2
蝶（てふ）	2	2	2
040114822	2	2	2
ワンサイズ	2	2	2
読まさ	2	2	2
薬店	2	2	2
ポルガー	2	2	2
先立っ	2	2	2
ミライ	2	2	2
イザナギ	2	2	2
室屋	2	2	2
揉む	2	2	2
ばーっ	2	2	2
レロレロ	2	2	2
さなえ	2	2	2
ごそごそ	2	2	2
案じる	2	2	2
Let	2	2	2
暗然	2	2	2
一光	2	2	2
峰岸	2	2	2
アクセラ	2	2	2
メゾット	2	2	2
dc	2	2	2
照度	2	2	2
nlab	2	2	2
ワンクール	2	2	2
笑覧	2	2	2
グロロ	2	2	2
さみし	2	2	2
諌める	2	2	2
みし	2	2	2
１３９	2	2	2
ゆらい	2	2	2
スイッチング	2	2	2
梨菜	2	2	2
｝	2	2	2
浪漫	2	2	2
ストラクチャー	2	2	2
PFA	2	2	2
花糸	2	2	2
あまく	2	2	2
よけい	2	2	2
ホシノ	2	2	2
サングランデ	2	2	2
ハイウェイ	2	2	2
３万７千	2	2	2
背広	2	2	2
でっかく	2	2	2
もつれる	2	2	2
TERUMI	2	2	2
釣ろう	2	2	2
オズマガジン	2	2	2
ヤイ	2	2	2
ブンゲン	2	2	2
狂乱	2	2	2
かわるがわる	2	2	2
沙耶香	2	2	2
576	2	2	2
帝國	2	2	2
ドライゼロ	2	2	2
陳列棚	2	2	2
学外	2	2	2
麗人	2	2	2
走査	2	2	2
支笏	2	2	2
イエステーション	2	2	2
裡	2	2	2
いじれ	2	2	2
森安	2	2	2
前立て	2	2	2
赤黒い	2	2	2
燃やさ	2	2	2
ピシッ	2	2	2
水泡	2	2	2
ダーウィニズム	2	2	2
つむぐ	2	2	2
エイコサペンタエン	2	2	2
天一	2	2	2
接写	2	2	2
AFC	2	2	2
隔てる	2	2	2
薄っぺらい	2	2	2
ラファエル	2	2	2
やすり	2	2	2
ムッチムチ	2	2	2
６０１	2	2	2
FFFFFF	2	2	2
ﾆ	2	2	2
憎ま	2	2	2
顔付	2	2	2
オルタナティヴ	2	2	2
ヨシュア	2	2	2
ＷＷＷ	2	2	2
（・∀・）	2	2	2
羽沢	2	2	2
泊め	2	2	2
融点	2	2	2
みず	2	2	2
ちょー	2	2	2
スポーツコア	2	2	2
ACE	2	2	2
アソシエイト	2	2	2
翠	2	2	2
寒空	2	2	2
もんどり	2	2	2
回向	2	2	2
ホグ	2	2	2
手間取っ	2	2	2
汗かき	2	2	2
ランエボ	2	2	2
メンタリティー	2	2	2
シャルル	2	2	2
ミーテ	2	2	2
真価	2	2	2
ぺろり	2	2	2
ウェルカー	2	2	2
惨殺	2	2	2
銀賞	2	2	2
２人乗り	2	2	2
垢すり	2	2	2
督夫	2	2	2
長物	2	2	2
讀む	2	2	2
黙秘	2	2	2
虎助	2	2	2
真和	2	2	2
DQ	2	2	2
細粒	2	2	2
ともだち	2	2	2
Istio	2	2	2
仕込	2	2	2
置き引き	2	2	2
ころあい	2	2	2
ハチクロ	2	2	2
コムサ	2	2	2
ダートバイク	2	2	2
ディスカウント	2	2	2
ピンクフロイド	2	2	2
あそべる	2	2	2
KG	2	2	2
JPQ	2	2	2
和える	2	2	2
三味	2	2	2
実入り	2	2	2
ホルスター	2	2	2
シロフ	2	2	2
SQC	2	2	2
操れる	2	2	2
５４０	2	2	2
ひな形	2	2	2
増田	2	2	2
デブス	2	2	2
ふるい分け	2	2	2
ライトニングホーネットプログライズキー	2	2	2
ＣＯ２	2	2	2
埋め合わせ	2	2	2
むっ	2	2	2
しぼり	2	2	2
SHOROｓ	2	2	2
仕口	2	2	2
官立	2	2	2
鰯	2	2	2
フランツ	2	2	2
旅宿	2	2	2
モノグサ	2	2	2
寛子	2	2	2
串刺し	2	2	2
喧噪	2	2	2
辺縁	2	2	2
丸首	2	2	2
車券	2	2	2
暗雲	2	2	2
自省	2	2	2
さかい	2	2	2
ネイリスト	2	2	2
遣わし	2	2	2
甲乙	2	2	2
1934	2	2	2
ポカ	2	2	2
鳴り物	2	2	2
敬服	2	2	2
ヴィデオ	2	2	2
アントレプレナー	2	2	2
ROBOT	2	2	2
サブロー	2	2	2
RTOS	2	2	2
テンプル	2	2	2
フルゲート	2	2	2
金製	2	2	2
憂	2	2	2
接道	2	2	2
変顔	2	2	2
599	2	2	2
ＧＩ	2	2	2
んーーー	2	2	2
清風	2	2	2
自戒	2	2	2
タラッシュ	2	2	2
１９６０	2	2	2
毛並	2	2	2
トリグリセリド	2	2	2
銀狼	2	2	2
１９７１	2	2	2
ばかばかし	2	2	2
強兵	2	2	2
ビョンフン	2	2	2
特融	2	2	2
カルー	2	2	2
ガレオン	2	2	2
ゼニ	2	2	2
モミ	2	2	2
ざんまい	2	2	2
験	2	2	2
日差	2	2	2
巨	2	2	2
愛染	2	2	2
ふー	2	2	2
かこう	2	2	2
😆	2	2	2
ねずみ取り	2	2	2
バーゼル	2	2	2
きしょう	2	2	2
磯田	2	2	2
フレイヴァー	2	2	2
カランカラン	2	2	2
✌	2	2	2
小篇	2	2	2
伸ばさ	2	2	2
水墨	2	2	2
Elektron	2	2	2
ぐさ	2	2	2
全駅	2	2	2
ほっぺ	2	2	2
鶏油	2	2	2
トレド	2	2	2
むか	2	2	2
口約	2	2	2
フト	2	2	2
ベイトソン	2	2	2
患い	2	2	2
寒けれ	2	2	2
イー	2	2	2
ＤＶ	2	2	2
EL	2	2	2
二子玉川	2	2	2
ディーン	2	2	2
ミッドサマー	2	2	2
マイクロメートル	2	2	2
美祢	2	2	2
オオアシカラカネトカゲ	2	2	2
MASA	2	2	2
風紀	2	2	2
ノクターン	2	2	2
骨髄	2	2	2
特会	2	2	2
そっけなかっ	2	2	2
ばっさり	2	2	2
御殿	2	2	2
マト	2	2	2
書きかけ	2	2	2
因る	2	2	2
物静か	2	2	2
北大塚	2	2	2
１０２	2	2	2
つなごう	2	2	2
ラニバ	2	2	2
弟分	2	2	2
さわり	2	2	2
水球	2	2	2
某日	2	2	2
ビジネスビル	2	2	2
クメール	2	2	2
散らさ	2	2	2
鈍化	2	2	2
手堅く	2	2	2
屈曲	2	2	2
ひと休み	2	2	2
どこどこ	2	2	2
キッシュ	2	2	2
XII	2	2	2
クスミ	2	2	2
友希	2	2	2
いけす	2	2	2
シリコンゴム	2	2	2
しのぶ	2	2	2
84億	2	2	2
眠ら	2	2	2
タイムスリップ	2	2	2
なおざり	2	2	2
レヴァ	2	2	2
アヌス	2	2	2
ブラザー	2	2	2
冨樫	2	2	2
親書	2	2	2
新訂	2	2	2
ヴィエラ	2	2	2
唆る	2	2	2
26.9	2	2	2
アセラ	2	2	2
変位	2	2	2
玉那覇	2	2	2
モレリア	2	2	2
1500兆	2	2	2
グレートバリアリーフ	2	2	2
低目	2	2	2
1897	2	2	2
ベレ	2	2	2
朗	2	2	2
逆らわ	2	2	2
はす	2	2	2
おひたし	2	2	2
ドレナージュ	2	2	2
今し方	2	2	2
エグゼロス	2	2	2
AX	2	2	2
ホモエピタキシャル	2	2	2
町はずれ	2	2	2
ロシツキー	2	2	2
２８０	2	2	2
無声	2	2	2
はまり役	2	2	2
乱入	2	2	2
トークン	2	2	2
ドゥツィアク	2	2	2
スライム	2	2	2
ネクチクラゲ	2	2	2
ヴェネタ	2	2	2
スピット	2	2	2
デビット	2	2	2
藤島	2	2	2
make	2	2	2
156	2	2	2
GR	2	2	2
ハイエンドビデオカード	2	2	2
メークアップ	2	2	2
けずり	2	2	2
レビー	2	2	2
ぶるぶる	2	2	2
らぁめん	2	2	2
休診	2	2	2
開けろ	2	2	2
キリシタン	2	2	2
編み物	2	2	2
クァク	2	2	2
中松町	2	2	2
レトリック	2	2	2
新選組	2	2	2
麻耶	2	2	2
だし汁	2	2	2
大手町	2	2	2
西太后	2	2	2
試走	2	2	2
味醂	2	2	2
305	2	2	2
あやや	2	2	2
民度	2	2	2
ブン	2	2	2
WSL	2	2	2
色見	2	2	2
SAFEWAY	2	2	2
ホルスト	2	2	2
レイザー	2	2	2
トロい	2	2	2
カケラ	2	2	2
教則	2	2	2
羅	2	2	2
水垢	2	2	2
あずから	2	2	2
善良	2	2	2
東上野	2	2	2
ソロリサイタル	2	2	2
秀爾	2	2	2
岡村	2	2	2
ぴあ	2	2	2
新大宮	2	2	2
色々（いろいろ）	2	2	2
あぐり	2	2	2
胸肉	2	2	2
sec	2	2	2
間人	2	2	2
ツノナシオキアミ	2	2	2
ロンパース	2	2	2
果耶	2	2	2
水運	2	2	2
熱燗	2	2	2
グロクロ	2	2	2
レアチーズ	2	2	2
顎骨	2	2	2
惚れ惚れ	2	2	2
他家	2	2	2
畦畔	2	2	2
解読	2	2	2
賛意	2	2	2
ミニプラ	2	2	2
パイソン	2	2	2
工機	2	2	2
ジグザグ	2	2	2
秘蔵	2	2	2
ヨーロッパン	2	2	2
WFA	2	2	2
意地悪	2	2	2
波多野	2	2	2
ポノマリョフ	2	2	2
ロホックシリーズ	2	2	2
ニセ	2	2	2
５5,000	2	2	2
属さ	2	2	2
下総	2	2	2
勝気	2	2	2
円錐	2	2	2
召し上がる	2	2	2
電算	2	2	2
フリーザ	2	2	2
ヨツモト	2	2	2
（｀・ω・´）	2	2	2
まあるい	2	2	2
一汗	2	2	2
白虎	2	2	2
185	2	2	2
べんと	2	2	2
戻せ	2	2	2
キハラ	2	2	2
述定	2	2	2
後段	2	2	2
進軍	2	2	2
うらやましかっ	2	2	2
満氏	2	2	2
複写	2	2	2
コジ	2	2	2
湿	2	2	2
つらら	2	2	2
ズル	2	2	2
5.02	2	2	2
トロリ	2	2	2
オフショット	2	2	2
おはし	2	2	2
病変	2	2	2
つぎつぎ	2	2	2
努	2	2	2
雨漏れ	2	2	2
博多駅前	2	2	2
ジャンヌ	2	2	2
赤身	2	2	2
一皮	2	2	2
Luz	2	2	2
トランスミッション	2	2	2
片親	2	2	2
替玉	2	2	2
マーサ	2	2	2
ˊᵕˋ	2	2	2
ぺろぺろ	2	2	2
落とそう	2	2	2
身欠	2	2	2
無くなれ	2	2	2
chikazou	2	2	2
ヤラセ	2	2	2
水口	2	2	2
卸す	2	2	2
パイセン	2	2	2
良和	2	2	2
停まっ	2	2	2
ケツイアレンジモード	2	2	2
オム	2	2	2
シーア	2	2	2
朝香	2	2	2
情話	2	2	2
前妻	2	2	2
ご多分	2	2	2
メッシュパン	2	2	2
連射	2	2	2
どんどこ	2	2	2
杏璃	2	2	2
シンペン	2	2	2
CAFE	2	2	2
甫	2	2	2
MIP	2	2	2
ユーウツ	2	2	2
隆々	2	2	2
枠外	2	2	2
アングラ	2	2	2
out	2	2	2
acc	2	2	2
ニンテンドースイッチ	2	2	2
羽釜	2	2	2
ワッフル	2	2	2
